"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.569462720E2,6.499498333E1,2.551684333E1,2.663324506E1,8.590713739E-1,1.694199982E2,1.799999952E0,9.600000381E0
1.579462720E2,6.499496833E1,2.551684167E1,2.583323142E1,8.312764168E-1,1.750599976E2,1.700000048E0,9.399999619E0
1.589462720E2,6.499495500E1,2.551682833E1,2.583322081E1,7.875249982E-1,1.821799927E2,1.700000048E0,9.399999619E0
1.599462720E2,6.499494167E1,2.551681833E1,2.573320978E1,7.550975084E-1,1.836199951E2,1.700000048E0,9.500000000E0
1.609462720E2,6.499492833E1,2.551682000E1,2.543319725E1,7.556121945E-1,1.892799988E2,1.600000024E0,9.300000191E0
1.619462720E2,6.499491833E1,2.551681000E1,2.503318929E1,7.751716375E-1,1.996000061E2,1.600000024E0,9.600000381E0
1.629462720E2,6.499490500E1,2.551679833E1,2.463317847E1,8.019372225E-1,2.148200073E2,1.600000024E0,9.500000000E0
1.639462720E2,6.499489667E1,2.551678500E1,2.413317248E1,8.209819198E-1,2.198300018E2,1.600000024E0,9.600000381E0
1.649462720E2,6.499488667E1,2.551677000E1,2.393316516E1,8.616449833E-1,2.238600006E2,1.600000024E0,8.600000381E0
1.659462720E2,6.499487667E1,2.551675667E1,2.383315762E1,8.909841776E-1,2.292799988E2,1.600000024E0,8.699999809E0
1.669462720E2,6.499487000E1,2.551673833E1,2.373315381E1,9.089994431E-1,2.406600037E2,1.600000024E0,9.100000381E0
1.679462720E2,6.499486500E1,2.551672000E1,2.383315153E1,9.234116673E-1,2.393899994E2,1.600000024E0,9.100000381E0
1.689462720E2,6.499485833E1,2.551671000E1,2.323314665E1,9.414269328E-1,2.302100067E2,1.600000024E0,8.699999809E0
1.699462720E2,6.499485167E1,2.551668500E1,2.283314369E1,9.851783514E-1,2.338899994E2,1.600000024E0,8.500000000E0
1.709462720E2,6.499485000E1,2.551665833E1,2.253314555E1,9.815752506E-1,2.477299957E2,1.600000024E0,8.500000000E0
1.719462720E2,6.499484667E1,2.551663500E1,2.233314545E1,9.784869552E-1,2.462799988E2,1.600000024E0,8.199999809E0
1.729462720E2,6.499484167E1,2.551661000E1,2.223314403E1,9.728249907E-1,2.336000061E2,1.600000024E0,8.000000000E0
1.739462720E2,6.499483333E1,2.551658833E1,2.173313910E1,9.434858561E-1,2.225000000E2,1.600000024E0,8.199999809E0
1.749462720E2,6.499482500E1,2.551657667E1,2.173313290E1,9.239264131E-1,2.094299927E2,1.600000024E0,8.100000381E0
1.759462720E2,6.499481500E1,2.551655333E1,2.163312664E1,9.239264131E-1,2.102899933E2,1.500000000E0,7.900000095E0
1.769462720E2,6.499480333E1,2.551653833E1,2.123311778E1,9.331913590E-1,1.933500061E2,1.600000024E0,8.199999809E0
1.779462720E2,6.499479500E1,2.551653667E1,2.083311030E1,9.568685889E-1,2.057799988E2,1.600000024E0,8.399999619E0
1.789462720E2,6.499478167E1,2.551652667E1,2.063309927E1,9.892961383E-1,1.836699982E2,1.600000024E0,8.399999619E0
1.799462720E2,6.499477333E1,2.551653500E1,2.033309051E1,9.687072039E-1,1.797899933E2,1.600000024E0,8.500000000E0
1.809462720E2,6.499476333E1,2.551653500E1,1.993308128E1,1.004737735E0,1.777299957E2,1.600000024E0,9.100000381E0
1.819462720E2,6.499475167E1,2.551654333E1,1.903306944E1,1.061871886E0,1.656100006E2,1.600000024E0,8.399999619E0
1.829462720E2,6.499474000E1,2.551655500E1,1.863305718E1,1.064960241E0,1.653399963E2,1.600000024E0,8.699999809E0
1.839462720E2,6.499473333E1,2.551656333E1,1.823304996E1,1.084004998E0,1.628300018E2,1.600000024E0,8.800000191E0
1.849462720E2,6.499472333E1,2.551657333E1,1.763303945E1,1.105623364E0,1.606699982E2,1.600000024E0,8.899999619E0
1.859462720E2,6.499471333E1,2.551658667E1,1.703302851E1,1.106652737E0,1.523399963E2,1.600000024E0,8.600000381E0
1.869462720E2,6.499470333E1,2.551660000E1,1.663301757E1,1.138050795E0,1.581199951E2,1.500000000E0,8.600000381E0
1.879462720E2,6.499469333E1,2.551661500E1,1.653300642E1,1.116432548E0,1.567299957E2,1.600000024E0,8.699999809E0
1.889462720E2,6.499468500E1,2.551663333E1,1.643299639E1,1.129300594E0,1.470599976E2,1.500000000E0,8.899999619E0
1.899462720E2,6.499467333E1,2.551665333E1,1.593298306E1,1.145771623E0,1.433699951E2,1.600000024E0,9.199999809E0
1.909462720E2,6.499466333E1,2.551667500E1,1.563297106E1,1.144227505E0,1.468300018E2,1.600000024E0,9.199999809E0
1.919462720E2,6.499465333E1,2.551669167E1,1.533295969E1,1.132388830E0,1.508500061E2,1.600000024E0,9.100000381E0
1.929462720E2,6.499464500E1,2.551671333E1,1.523294923E1,1.156580806E0,1.414199982E2,1.600000024E0,8.800000191E0
1.939462720E2,6.499463500E1,2.551673000E1,1.493293787E1,1.190552473E0,1.468500061E2,1.600000024E0,8.899999619E0
1.949462720E2,6.499462500E1,2.551675167E1,1.503292587E1,1.193126082E0,1.351499939E2,1.600000024E0,9.300000191E0
1.959462720E2,6.499461833E1,2.551677333E1,1.483291694E1,1.181287527E0,1.439499969E2,1.600000024E0,9.300000191E0
1.969462720E2,6.499461333E1,2.551678500E1,1.463291084E1,1.168419480E0,1.546600037E2,1.600000024E0,9.000000000E0
1.979462720E2,6.499460667E1,2.551679833E1,1.423290298E1,1.186949492E0,1.507400055E2,1.600000024E0,9.000000000E0
1.989462720E2,6.499459500E1,2.551680333E1,1.393289156E1,1.132388830E0,1.637799988E2,1.600000024E0,9.000000000E0
1.999462720E2,6.499458833E1,2.551681833E1,1.373288349E1,1.118491411E0,1.464700012E2,1.600000024E0,8.899999619E0
2.009462720E2,6.499457833E1,2.551683333E1,1.343287234E1,1.103049755E0,1.492700043E2,1.600000024E0,9.100000381E0
2.019462720E2,6.499456833E1,2.551685167E1,1.313286076E1,1.095843554E0,1.368600006E2,1.600000024E0,9.600000381E0
2.029462720E2,6.499456167E1,2.551686833E1,1.293285248E1,1.061357260E0,1.478899994E2,1.600000024E0,9.600000381E0
2.039462720E2,6.499455667E1,2.551688167E1,1.243284616E1,1.022753000E0,1.436100006E2,1.600000024E0,9.500000000E0
2.049462720E2,6.499455000E1,2.551690167E1,1.223283745E1,9.975316525E-1,1.518699951E2,1.600000024E0,9.600000381E0
2.059462720E2,6.499454000E1,2.551691500E1,1.213282651E1,9.980463982E-1,1.494199982E2,1.600000024E0,9.399999619E0
2.069462720E2,6.499453333E1,2.551692833E1,1.213281865E1,9.635599852E-1,1.361799927E2,1.600000024E0,9.100000381E0
2.079462720E2,6.499452667E1,2.551694833E1,1.233280993E1,9.728249907E-1,1.425500031E2,1.600000024E0,8.399999619E0
2.089462720E2,6.499451667E1,2.551697000E1,1.233279793E1,9.748839140E-1,1.285000000E2,1.600000024E0,8.800000191E0
2.099462720E2,6.499450667E1,2.551698833E1,1.223278635E1,9.856930375E-1,1.350800018E2,1.600000024E0,8.899999619E0
2.109462720E2,6.499449667E1,2.551700000E1,1.213277563E1,9.867225289E-1,1.422100067E2,1.600000024E0,9.199999809E0
