"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.293719462E0,-4.899999872E-2,-3.700000048E-2,-1.959999949E-1
1.298655227E0,-4.899999872E-2,-3.700000048E-2,-1.959999949E-1
1.303590992E0,-4.899999872E-2,-3.700000048E-2,-1.959999949E-1
1.308527341E0,-9.600000083E-2,-5.400000140E-2,-2.090000063E-1
1.313463682E0,-9.600000083E-2,-5.400000140E-2,-2.090000063E-1
1.318400023E0,-9.600000083E-2,-5.400000140E-2,-2.090000063E-1
1.323336306E0,-2.999999933E-2,-1.129999980E-1,2.300000004E-2
1.328272581E0,-2.999999933E-2,-1.129999980E-1,2.300000004E-2
1.333208856E0,-2.999999933E-2,-1.129999980E-1,2.300000004E-2
1.338144464E0,-3.900000080E-2,-1.260000020E-1,2.949999869E-1
1.343079639E0,-3.900000080E-2,-1.260000020E-1,2.949999869E-1
1.348014814E0,-3.900000080E-2,-1.260000020E-1,2.949999869E-1
1.352950302E0,2.119999975E-1,-1.840000004E-1,3.880000114E-1
1.357886257E0,2.119999975E-1,-1.840000004E-1,3.880000114E-1
1.362822212E0,2.119999975E-1,-1.840000004E-1,3.880000114E-1
1.367758090E0,1.190000027E-1,-6.000000052E-3,2.899999917E-1
1.372693981E0,1.190000027E-1,-6.000000052E-3,2.899999917E-1
1.377629872E0,1.190000027E-1,-6.000000052E-3,2.899999917E-1
1.382565760E0,1.190000027E-1,-6.000000052E-3,2.899999917E-1
1.387502115E0,1.580000073E-1,-6.599999964E-2,-3.799999878E-2
1.392438456E0,1.580000073E-1,-6.599999964E-2,-3.799999878E-2
1.397374797E0,1.580000073E-1,-6.599999964E-2,-3.799999878E-2
1.402312122E0,6.499999762E-2,1.010000035E-1,-1.000000047E-3
1.407249687E0,6.499999762E-2,1.010000035E-1,-1.000000047E-3
1.412187252E0,6.499999762E-2,1.010000035E-1,-1.000000047E-3
1.417124292E0,-7.699999958E-2,1.759999990E-1,-1.250000000E-1
1.422061027E0,-7.699999958E-2,1.759999990E-1,-1.250000000E-1
1.426997762E0,-7.699999958E-2,1.759999990E-1,-1.250000000E-1
1.431934062E0,4.000000190E-3,1.819999963E-1,1.180000007E-1
1.436869863E0,4.000000190E-3,1.819999963E-1,1.180000007E-1
1.441805664E0,4.000000190E-3,1.819999963E-1,1.180000007E-1
1.446741513E0,-1.080000028E-1,-6.300000101E-2,2.820000052E-1
1.451677568E0,-1.080000028E-1,-6.300000101E-2,2.820000052E-1
1.456613623E0,-1.080000028E-1,-6.300000101E-2,2.820000052E-1
1.461549678E0,-1.080000028E-1,-6.300000101E-2,2.820000052E-1
1.466485849E0,-2.220000029E-1,-2.999999933E-2,-4.300000146E-2
1.471422000E0,-2.220000029E-1,-2.999999933E-2,-4.300000146E-2
1.476358151E0,-2.220000029E-1,-2.999999933E-2,-4.300000146E-2
1.481294143E0,-1.700000092E-2,-5.099999905E-2,-9.600000083E-2
1.486230084E0,-1.700000092E-2,-5.099999905E-2,-9.600000083E-2
1.491166025E0,-1.700000092E-2,-5.099999905E-2,-9.600000083E-2
1.496101568E0,-3.999999911E-2,1.089999974E-1,-1.220000014E-1
1.501036889E0,-3.999999911E-2,1.089999974E-1,-1.220000014E-1
1.505972210E0,-3.999999911E-2,1.089999974E-1,-1.220000014E-1
1.510907994E0,-1.400000043E-2,1.449999958E-1,-3.999999911E-2
1.515844405E0,-1.400000043E-2,1.449999958E-1,-3.999999911E-2
1.520780816E0,-1.400000043E-2,1.449999958E-1,-3.999999911E-2
1.525717269E0,-8.900000155E-2,1.010000035E-1,9.600000083E-2
1.530653900E0,-8.900000155E-2,1.010000035E-1,9.600000083E-2
1.535590531E0,-8.900000155E-2,1.010000035E-1,9.600000083E-2
1.540527159E0,-8.900000155E-2,1.010000035E-1,9.600000083E-2
1.545463855E0,-1.330000013E-1,-1.759999990E-1,1.600000076E-2
1.550400510E0,-1.330000013E-1,-1.759999990E-1,1.600000076E-2
1.555337165E0,-1.330000013E-1,-1.759999990E-1,1.600000076E-2
1.560274787E0,-4.199999943E-2,7.800000161E-2,-3.700000048E-2
1.565212642E0,-4.199999943E-2,7.800000161E-2,-3.700000048E-2
1.570150497E0,-4.199999943E-2,7.800000161E-2,-3.700000048E-2
1.575087780E0,-3.799999878E-2,1.309999973E-1,-3.700000048E-2
1.580024711E0,-3.799999878E-2,1.309999973E-1,-3.700000048E-2
1.584961642E0,-3.799999878E-2,1.309999973E-1,-3.700000048E-2
1.589898189E0,-4.300000146E-2,7.299999893E-2,-3.599999845E-2
1.594834280E0,-4.300000146E-2,7.299999893E-2,-3.599999845E-2
1.599770371E0,-4.300000146E-2,7.299999893E-2,-3.599999845E-2
1.604706483E0,-6.599999964E-2,2.349999994E-1,1.000000015E-1
1.609642634E0,-6.599999964E-2,2.349999994E-1,1.000000015E-1
1.614578785E0,-6.599999964E-2,2.349999994E-1,1.000000015E-1
1.619514933E0,-6.599999964E-2,2.349999994E-1,1.000000015E-1
1.624450448E0,4.899999872E-2,-7.100000232E-2,5.999999866E-2
1.629385933E0,4.899999872E-2,-7.100000232E-2,5.999999866E-2
1.634321418E0,4.899999872E-2,-7.100000232E-2,5.999999866E-2
1.639258264E0,3.799999878E-2,-7.500000298E-2,-3.299999982E-2
1.644195445E0,3.799999878E-2,-7.500000298E-2,-3.299999982E-2
1.649132626E0,3.799999878E-2,-7.500000298E-2,-3.299999982E-2
1.654068877E0,-5.299999937E-2,1.400000043E-2,7.599999756E-2
1.659004558E0,-5.299999937E-2,1.400000043E-2,7.599999756E-2
1.663940239E0,-5.299999937E-2,1.400000043E-2,7.599999756E-2
1.668876075E0,-8.999999613E-3,6.599999964E-2,1.439999938E-1
1.673812130E0,-8.999999613E-3,6.599999964E-2,1.439999938E-1
1.678748185E0,-8.999999613E-3,6.599999964E-2,1.439999938E-1
1.683684082E0,3.099999949E-2,2.500000037E-2,2.199999988E-2
1.688619207E0,3.099999949E-2,2.500000037E-2,2.199999988E-2
1.693554332E0,3.099999949E-2,2.500000037E-2,2.199999988E-2
1.698489457E0,3.099999949E-2,2.500000037E-2,2.199999988E-2
1.703424859E0,-8.000000380E-3,-9.600000083E-2,-8.600000292E-2
1.708360214E0,-8.000000380E-3,-9.600000083E-2,-8.600000292E-2
1.713295569E0,-8.000000380E-3,-9.600000083E-2,-8.600000292E-2
1.718231203E0,4.500000179E-2,-5.499999970E-2,-5.900000036E-2
1.723166898E0,4.500000179E-2,-5.499999970E-2,-5.900000036E-2
1.728102593E0,4.500000179E-2,-5.499999970E-2,-5.900000036E-2
1.733038379E0,5.900000036E-2,-3.799999878E-2,-7.299999893E-2
1.737974220E0,5.900000036E-2,-3.799999878E-2,-7.299999893E-2
